test_id,row_num,condition,victim,polluter,repo_url,commit,final_status,category,passed,attempts_used,stitches_used,stitch_succeeded,s1_prompt_tok,s1_completion_tok,s1_total_tok,s1_api_sec,a1_compile_sec,a1_stitch_prompt_tok,a1_stitch_completion_tok,a1_stitch_api_sec,a1_stitch_compile_sec,retry_prompt_tok,retry_completion_tok,retry_api_sec,retry_compile_sec,retry_stitch_prompt_tok,retry_stitch_completion_tok,retry_stitch_api_sec,retry_stitch_compile_sec,test_sec,victim_alone_sec,polluter_alone_sec,total_prompt_tok,total_completion_tok,total_tokens,total_api_sec,total_compile_sec,total_elapsed_sec
row27_cukes,27,with_repro,lv.ctco.cukes.http.facade.HttpAssertionFacadeImplTest.shouldReturnBodyWhenEnabledAndNoMax,lv.ctco.cukes.http.facade.HttpAssertionFacadeImplTest.shouldNotReturnBodyWhenEnabledButLongerThanMaxSize,https://github.com/ctco/cukes,b483e1a8f261b80a66291a42fc455256b0b5059c,FIXED,Fixed flakiness,Y,1,0,0,1001,342,1343,13.16,6.11,,,,,,,,,,,,,13.31,7.05,6.98,1001,342,1343,13.16,6.11,46.61
row28_dropwizard,28,no_repro,io.dropwizard.logging.DefaultLoggingFactoryPrintErrorMessagesTest.testLogbackStatusPrinterPrintStreamIsRestoredToSystemOut,io.dropwizard.logging.ThrottlingAppenderWrapperTest.belowThrottlingLimit,https://github.com/dropwizard/dropwizard,07dfaed697427e208d65049f80a5d1949833b7cd,FIXED,Fixed flakiness,Y,2,1,0,1006,223,1229,4.97,13.37,1643,212,8.7,12.96,1630,212,7.92,14.31,,,,,22.24,5.98,7.98,4279,647,4926,21.589999999999996,40.64,98.43
row28_dropwizard,28,with_repro,io.dropwizard.logging.DefaultLoggingFactoryPrintErrorMessagesTest.testLogbackStatusPrinterPrintStreamIsRestoredToSystemOut,io.dropwizard.logging.ThrottlingAppenderWrapperTest.belowThrottlingLimit,https://github.com/dropwizard/dropwizard,07dfaed697427e208d65049f80a5d1949833b7cd,NOT_FIXED,Did not address flakiness,N,5,4,0,1066,254,1320,7.85,13.62,1734,243,6.5,13.74,7132,1009,30.29,56.08,5318,861,27.310000000000002,40.150000000000006,,,,15250,2367,17617,71.95,123.59,195.54000000000002
row29_Sentinel,29,no_repro,com.alibaba.csp.sentinel.config.SentinelConfigTest.testDefaultConfig,com.alibaba.csp.sentinel.config.SentinelConfigTest.testColdFactoryLargerThanOne,https://github.com/alibaba/Sentinel,5523fd0d427ba0f66c3e110c2de6347edadcd125,FIXED,Fixed flakiness,Y,1,0,0,694,244,938,5.62,8.41,,,,,,,,,,,,,16.75,5.52,5.94,694,244,938,5.62,8.41,42.239999999999995
row29_Sentinel,29,with_repro,com.alibaba.csp.sentinel.config.SentinelConfigTest.testDefaultConfig,com.alibaba.csp.sentinel.config.SentinelConfigTest.testColdFactoryLargerThanOne,https://github.com/alibaba/Sentinel,5523fd0d427ba0f66c3e110c2de6347edadcd125,FIXED,Fixed flakiness,Y,1,0,0,746,244,990,5.98,8.63,,,,,,,,,,,,,16.99,5.43,5.35,746,244,990,5.98,8.63,42.38
row30_fastjson,30,no_repro,com.alibaba.json.bvt.serializer.MaxBufSizeTest.test_max_buf,com.alibaba.json.bvt.serializer.SerializeWriterTest_14.test_writer_2,https://github.com/alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,NOT_FIXED,Did not address flakiness,N,5,0,0,690,196,886,4.66,27.18,,,,,6005,831,23.200000000000003,112.03,,,,,,,,6695,1027,7722,27.860000000000003,139.21,167.07000000000002
row30_fastjson,30,with_repro,com.alibaba.json.bvt.serializer.MaxBufSizeTest.test_max_buf,com.alibaba.json.bvt.serializer.SerializeWriterTest_14.test_writer_2,https://github.com/alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,NOT_FIXED,Did not address flakiness,N,5,3,0,739,199,938,5.24,27.54,,,,,5474,846,30.21,102.36,3603,600,16.16,77.39999999999999,,,,9816,1645,11461,51.61,207.3,258.91
row31_http-request,31,no_repro,com.github.kevinsawicki.http.HttpRequestTest.deleteWithMappedQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,COMPILE_ERROR,Compilation error,N,5,5,0,1045,363,1408,13.49,7.29,1632,356,8.58,6.87,6582,1421,45.809999999999995,31.520000000000003,6578,1420,43.53,28.770000000000003,,,,15837,3560,19397,111.41,74.45000000000002,185.86
row31_http-request,31,with_repro,com.github.kevinsawicki.http.HttpRequestTest.deleteWithMappedQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,FIXED,Fixed flakiness,Y,2,1,0,1094,347,1441,7.83,7.45,1665,346,7.49,7.16,1683,386,10.42,7.78,,,,,11.57,6.0,6.02,4442,1079,5521,25.740000000000002,22.39,71.72
row32_http-request,32,no_repro,com.github.kevinsawicki.http.HttpRequestTest.deleteWithVarargsQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,COMPILE_ERROR,Compilation error,N,3,3,0,1022,330,1352,14.19,6.79,1578,330,8.5,6.99,3192,662,21.61,14.43,3196,660,21.04,14.57,,,,8988,1982,10970,65.34,42.78,108.12
row32_http-request,32,with_repro,com.github.kevinsawicki.http.HttpRequestTest.deleteWithVarargsQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,COMPILE_ERROR,Compilation error,N,5,5,0,1072,328,1400,13.1,7.08,1651,321,7.64,7.29,6550,1284,35.730000000000004,28.569999999999997,6548,1280,39.74,28.59,,,,15821,3213,19034,96.21000000000001,71.53,167.74
row33_http-request,33,no_repro,com.github.kevinsawicki.http.HttpRequestTest.getUrlEncodedWithPercent,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,FIXED,Fixed flakiness,Y,3,2,0,949,273,1222,6.43,7.07,1446,266,7.49,6.98,2923,510,11.79,14.83,1458,265,9.53,7.59,11.95,5.69,5.91,6776,1314,8090,35.24,36.47,95.26
row33_http-request,33,with_repro,com.github.kevinsawicki.http.HttpRequestTest.getUrlEncodedWithPercent,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,FIXED,Fixed flakiness,Y,1,0,0,997,259,1256,10.76,7.59,,,,,,,,,,,,,11.85,5.94,6.03,997,259,1256,10.76,7.59,42.17
row34_http-request,34,no_repro,com.github.kevinsawicki.http.HttpRequestTest.getUrlEncodedWithSpace,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,FIXED,Fixed flakiness,Y,1,0,0,953,270,1223,9.66,7.58,,,,,,,,,,,,,11.5,5.71,5.83,953,270,1223,9.66,7.58,40.28
row34_http-request,34,with_repro,com.github.kevinsawicki.http.HttpRequestTest.getUrlEncodedWithSpace,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,FIXED,Fixed flakiness,Y,1,0,0,1001,261,1262,6.0,7.77,,,,,,,,,,,,,11.48,5.77,5.75,1001,261,1262,6.0,7.77,36.769999999999996
row35_http-request,35,no_repro,com.github.kevinsawicki.http.HttpRequestTest.getUrlEncodedWithUnicode,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,FIXED,Fixed flakiness,Y,1,0,0,954,267,1221,13.27,7.76,,,,,,,,,,,,,11.77,5.76,5.8,954,267,1221,13.27,7.76,44.35999999999999
row35_http-request,35,with_repro,com.github.kevinsawicki.http.HttpRequestTest.getUrlEncodedWithUnicode,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,FIXED,Fixed flakiness,Y,1,0,0,1002,263,1265,11.58,7.65,,,,,,,,,,,,,11.58,5.79,5.86,1002,263,1265,11.58,7.65,42.46
row36_http-request,36,no_repro,com.github.kevinsawicki.http.HttpRequestTest.getWithEscapedMappedQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,FIXED,Fixed flakiness,Y,4,3,0,1055,343,1398,8.0,7.01,1624,350,12.32,7.36,4950,1102,26.14,22.4,3298,710,20.439999999999998,14.32,11.67,5.93,5.74,10927,2505,13432,66.9,51.089999999999996,141.33
row36_http-request,36,with_repro,com.github.kevinsawicki.http.HttpRequestTest.getWithEscapedMappedQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,FIXED,Fixed flakiness,Y,1,0,0,1106,351,1457,12.1,7.7,,,,,,,,,,,,,11.6,5.8,5.94,1106,351,1457,12.1,7.7,43.13999999999999
row37_http-request,37,no_repro,com.github.kevinsawicki.http.HttpRequestTest.getWithEscapedVarargsQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,FIXED,Fixed flakiness,Y,2,1,0,1032,375,1407,9.94,7.06,1630,379,13.66,7.16,1648,411,14.49,7.79,,,,,11.94,6.02,5.82,4310,1165,5475,38.09,22.009999999999998,83.88
row37_http-request,37,with_repro,com.github.kevinsawicki.http.HttpRequestTest.getWithEscapedVarargsQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,COMPILE_ERROR,Compilation error,N,5,5,0,1084,318,1402,10.18,7.07,1628,325,7.61,7.2,6630,1300,42.94,29.06,6612,1303,34.53,28.589999999999996,,,,15954,3246,19200,95.25999999999999,71.91999999999999,167.17999999999998
row38_http-request,38,no_repro,com.github.kevinsawicki.http.HttpRequestTest.getWithMappedQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,FIXED,Fixed flakiness,Y,3,3,1,1045,366,1411,7.97,7.1,1632,356,8.62,7.07,3297,710,22.509999999999998,15.62,3288,712,20.09,15.27,12.18,6.11,5.89,9262,2144,11406,59.19,45.06,128.43
row38_http-request,38,with_repro,com.github.kevinsawicki.http.HttpRequestTest.getWithMappedQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,FIXED,Fixed flakiness,Y,1,0,0,1094,350,1444,8.16,7.81,,,,,,,,,,,,,11.87,6.11,6.03,1094,350,1444,8.16,7.81,39.98
row39_http-request,39,no_repro,com.github.kevinsawicki.http.HttpRequestTest.headWithEscapedMappedQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,FIXED,Fixed flakiness,Y,1,0,0,1055,362,1417,12.02,7.83,,,,,,,,,,,,,11.75,6.17,5.88,1055,362,1417,12.02,7.83,43.650000000000006
row39_http-request,39,with_repro,com.github.kevinsawicki.http.HttpRequestTest.headWithEscapedMappedQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,FIXED,Fixed flakiness,Y,1,0,0,1106,362,1468,7.97,7.77,,,,,,,,,,,,,11.71,6.02,5.93,1106,362,1468,7.97,7.77,39.4
row40_http-request,40,no_repro,com.github.kevinsawicki.http.HttpRequestTest.headWithEscapedVarargsQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,COMPILE_ERROR,Compilation error,N,3,3,0,1032,329,1361,7.18,7.0,1582,325,11.86,7.0,3210,660,26.92,14.7,3213,668,22.64,14.73,,,,9037,1982,11019,68.6,43.43,112.03
row40_http-request,40,with_repro,com.github.kevinsawicki.http.HttpRequestTest.headWithEscapedVarargsQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,COMPILE_ERROR,Compilation error,N,3,3,0,1084,318,1402,7.58,6.84,1628,325,8.1,6.91,3308,660,22.23,14.83,3338,668,14.34,14.58,,,,9358,1971,11329,52.25,43.16,95.41
row41_http-request,41,no_repro,com.github.kevinsawicki.http.HttpRequestTest.headWithMappedQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,FIXED,Fixed flakiness,Y,2,1,0,1045,347,1392,14.22,6.97,1616,346,8.01,7.05,1634,335,8.63,8.12,,,,,11.86,6.16,6.18,4295,1028,5323,30.86,22.14,77.19999999999999
row41_http-request,41,with_repro,com.github.kevinsawicki.http.HttpRequestTest.headWithMappedQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,FIXED,Fixed flakiness,Y,1,0,0,1094,347,1441,12.15,7.79,,,,,,,,,,,,,11.59,5.94,5.71,1094,347,1441,12.15,7.79,43.18
row42_http-request,42,no_repro,com.github.kevinsawicki.http.HttpRequestTest.headWithVaragsQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,COMPILE_ERROR,Compilation error,N,3,3,0,1022,337,1359,16.82,7.07,1610,330,8.03,7.13,3197,660,19.68,16.6,3192,660,14.32,14.5,,,,9021,1987,11008,58.85,45.3,104.15
row42_http-request,42,with_repro,com.github.kevinsawicki.http.HttpRequestTest.headWithVaragsQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,COMPILE_ERROR,Compilation error,N,3,3,0,1072,318,1390,7.14,6.95,1612,321,8.78,7.07,3276,652,14.68,14.17,3285,660,15.2,14.27,,,,9245,1951,11196,45.8,42.459999999999994,88.25999999999999
row43_http-request,43,no_repro,com.github.kevinsawicki.http.HttpRequestTest.postWithEscapedMappedQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,FIXED,Fixed flakiness,Y,3,3,1,1055,352,1407,7.94,7.05,1651,399,10.71,7.06,3294,692,15.92,14.120000000000001,3290,740,17.18,15.05,11.87,5.92,5.77,9290,2183,11473,51.75,43.28,118.59
row43_http-request,43,with_repro,com.github.kevinsawicki.http.HttpRequestTest.postWithEscapedMappedQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,FIXED,Fixed flakiness,Y,1,0,0,1106,351,1457,14.1,7.65,,,,,,,,,,,,,11.78,6.0,5.76,1106,351,1457,14.1,7.65,45.29
row44_http-request,44,no_repro,com.github.kevinsawicki.http.HttpRequestTest.postWithEscapedVarargsQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,FIXED,Fixed flakiness,Y,1,0,0,1032,327,1359,13.13,7.83,,,,,,,,,,,,,11.99,6.29,5.95,1032,327,1359,13.13,7.83,45.190000000000005
row44_http-request,44,with_repro,com.github.kevinsawicki.http.HttpRequestTest.postWithEscapedVarargsQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,COMPILE_ERROR,Compilation error,N,3,3,0,1084,326,1410,7.54,7.0,1634,325,7.95,7.01,3305,644,19.63,15.05,3301,650,19.45,14.42,,,,9324,1945,11269,54.56999999999999,43.480000000000004,98.05
row45_http-request,45,no_repro,com.github.kevinsawicki.http.HttpRequestTest.postWithNumericQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,COMPILE_ERROR,Compilation error,N,3,3,0,1045,365,1410,7.55,6.97,1658,355,13.22,6.89,3293,711,20.79,14.18,3290,710,18.96,14.3,,,,9286,2141,11427,60.52,42.34,102.86000000000001
row45_http-request,45,with_repro,com.github.kevinsawicki.http.HttpRequestTest.postWithNumericQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,FIXED,Fixed flakiness,Y,1,0,0,1094,367,1461,8.31,7.65,,,,,,,,,,,,,11.55,5.76,5.81,1094,367,1461,8.31,7.65,39.080000000000005
row46_http-request,46,no_repro,com.github.kevinsawicki.http.HttpRequestTest.verifierAccepts,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,FIXED,Fixed flakiness,Y,1,0,0,920,221,1141,5.98,7.55,,,,,,,,,,,,,12.08,5.99,5.93,920,221,1141,5.98,7.55,37.53
row46_http-request,46,with_repro,com.github.kevinsawicki.http.HttpRequestTest.verifierAccepts,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,FIXED,Fixed flakiness,Y,1,0,0,967,222,1189,5.9,7.75,,,,,,,,,,,,,11.89,5.98,5.8,967,222,1189,5.9,7.75,37.32
row47_http-request,47,no_repro,com.github.kevinsawicki.http.HttpRequestTest.getWithVarargsQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,COMPILE_ERROR,Compilation error,N,3,3,0,1022,337,1359,7.56,6.93,1610,330,8.09,6.92,3197,660,19.95,14.620000000000001,3192,660,24.94,16.56,,,,9021,1987,11008,60.53999999999999,45.03,105.57
row47_http-request,47,with_repro,com.github.kevinsawicki.http.HttpRequestTest.getWithVarargsQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,COMPILE_ERROR,Compilation error,N,5,5,0,1072,314,1386,14.76,6.96,1612,321,8.67,7.21,6561,1303,42.49,28.52,6589,1312,43.91,28.209999999999997,,,,15834,3250,19084,109.83,70.89999999999999,180.73
row48_http-request,48,no_repro,com.github.kevinsawicki.http.HttpRequestTest.postWithMappedQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,COMPILE_ERROR,Compilation error,N,4,4,0,1045,355,1400,8.99,6.7,1626,356,9.5,7.24,4933,1067,29.19,21.83,4936,1065,32.65,21.91,,,,12540,2843,15383,80.33000000000001,57.67999999999999,138.01
row48_http-request,48,with_repro,com.github.kevinsawicki.http.HttpRequestTest.postWithMappedQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,FIXED,Fixed flakiness,Y,1,0,0,1094,339,1433,14.31,7.58,,,,,,,,,,,,,11.56,5.76,5.99,1094,339,1433,14.31,7.58,45.2
row49_http-request,49,no_repro,com.github.kevinsawicki.http.HttpRequestTest.postWithVaragsQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,COMPILE_ERROR,Compilation error,N,5,5,0,1022,338,1360,8.33,7.07,1584,331,15.63,7.66,6439,1320,33.87,28.22,6384,1324,34.33,28.02,,,,15429,3313,18742,92.16,70.97,163.13
row49_http-request,49,with_repro,com.github.kevinsawicki.http.HttpRequestTest.postWithVaragsQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,COMPILE_ERROR,Compilation error,N,5,5,0,1072,322,1394,11.41,7.1,1618,321,7.04,7.17,6567,1304,33.46,28.73,6612,1312,37.38,28.09,,,,15869,3259,19128,89.28999999999999,71.09,160.38
row50_marine-api,50,no_repro,net.sf.marineapi.ais.parser.AISMessageFactoryTest.testCreateWithIncorrectOrder,net.sf.marineapi.nmea.parser.SentenceFactoryTest.testRegisterParserWithAlternativeBeginChar,https://github.com/ktuukkan/marine-api,af0003847db9ba822f67d4f1dceb8de3fe63250a,COMPILE_ERROR,Compilation error,N,3,3,0,977,226,1203,5.31,8.76,1468,226,5.56,8.85,2935,450,20.08,17.91,2970,450,15.23,18.54,,,,8350,1352,9702,46.17999999999999,54.059999999999995,100.23999999999998
row50_marine-api,50,with_repro,net.sf.marineapi.ais.parser.AISMessageFactoryTest.testCreateWithIncorrectOrder,net.sf.marineapi.nmea.parser.SentenceFactoryTest.testRegisterParserWithAlternativeBeginChar,https://github.com/ktuukkan/marine-api,af0003847db9ba822f67d4f1dceb8de3fe63250a,COMPILE_ERROR,Compilation error,N,5,5,0,1031,223,1254,8.93,9.43,1519,223,8.05,9.17,6131,888,28.64,35.53,6144,897,29.86,35.32,,,,14825,2231,17056,75.48,89.45,164.93
